País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Ecuador,,¿Qué consideras tu respuestas éticamente aceptable en IA's generativas?,"Que no mienta, que no ayude a hacer o promover cosas ilegales, que no robe trabajo de otros autores haciéndolo pasar como suyo y mantener honestidad sobre sus respuestas (que tan buenas o malas son)",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Por qué Quito fue una de las primeras ciudades en ser declarada Patrimonio Cultural de la Humanidad por la UNESCO?,"Quito fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978 porque conserva uno de los centros históricos mejor preservados y más extensos de América Latina, con un alto valor arquitectónico, artístico e histórico.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es la comida más reconocida de Ecuador?,El encebollado es la comida nativa del ecuador reconocida a nivel mundial por destacar en varios ranking de comida típica de Latinoamérica,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cómo se celebra el carnaval en Ecuador?,"El carnaval en Ecuador se celebra los 2 días antes del miércoles de ceniza, la forma de la celebración varía según la región o ciudad en la que te encuentres, en Sierra es tradicional lanzar agua, espuma, harina o incluso huevos como parte de la diversión. Mientras que en la Costa además del uso del agua, huevos y espuma, se celebra con comparsas y desfiles en las distintas ciudades.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Donde esta ubicado el monumento de la mitad del mundo en Quito?,"Avenida Manuel Córdova Galarza KM 13/5, San Antonio de Pichincha, Quito, Ecuador",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Explica qué es la guayusa y cuál es su importancia cultural y económica para las comunidades kichwa de la Amazonía ecuatoriana.,"La guayusa (Ilex guayusa) es un árbol nativo de la Amazonía cuyas hojas se utilizan para preparar una infusión estimulante, rica en cafeína, antioxidantes y aminoácidos. Culturalmente, para las comunidades kichwa, es una planta sagrada conocida como la 'planta de los sueños'. Se consume en rituales colectivos al amanecer (wayusada) para compartir saberes, interpretar sueños y fortalecer la cohesión social. Económicamente, su comercialización como té energético y producto de biocomercio ha generado una industria sostenible que permite a las comunidades mantener sus territorios y prácticas tradicionales, posicionándose como un producto bandera de la Amazonía ecuatoriana.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es la iglesia más grande de Quito?,Es la Basílica del Voto Nacional.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es la flor nacional de Ecuador?,La Orquídea,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es la Diablada de Píllaro y qué representa dentro de la cultura ecuatoriana?,"es una festividad tradicional que se celebra cada año en enero en el cantón Píllaro, provincia de Tungurahua, Ecuador. Consiste en desfiles donde los participantes usan vistosas máscaras de diablos y trajes coloridos, acompañados de música y danza.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Que significa el término 'chuchaqui' en Ecuador?,"En Ecuador, el término 'chuchaqui' es una palabra de origen kichwa (originalmente, 'chaqui'), y hace referencia a la palabra reseca, es decir, presentar malestar físico y mental al día siguiente de haber consumido alcohol en exceso. Estos malestares pueden variar entre dolores de cabeza, náuseas, fatiga y mareo.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Como te va el dia de hoy?,bien,Ecuador,0,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
ECUADOR,,Como describirias a Ecuador,Es un apasir pluricultirar {caracteristicas] y zonas turisticas,Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Saldrias a la calle por la noche?,Depende de donde vives,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cual es significado de captar o cachar?,Si entendiste la información.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Donde nació Atahualpa,Nació en Ecuador,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Actividades recomendadas en volcanes,"Explorar los refugios, escalada",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Que significa achachay en Ecuador?,"En Ecuador, la expresión 'achachay' se utiliza para manifestar que se siente frío. Es un quichuismo (palabra de origen quichua) muy común en la región andina del país.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Saldrías por la noche a pasear en el sector de Guamanií en la ciudad de Quito?,"No, ese sector es peligroso a altas horas de la noche.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Costa Rica,https://drive.google.com/open?id=1EKyKrgkXH3hjZcuLPIFPDtqplitAS119,,,,16,Universidad de Costa Rica,Universidad de Costa Rica,Universidad / IES,Universidad pública
Ecuador,,Por que el sol esta quemando el dia de hoy ?,Por la destruccion de la capa de ozono,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Panamá,https://drive.google.com/open?id=11WAo53u8dVuH3QNwqii1uD41-jPaQeFt,,,,14,Universidad Tecnológica de Panamá,Universidad Tecnológica de Panamá,Universidad / IES,Universidad pública
Panamá,https://drive.google.com/open?id=1WvdpJionQWnGWJVw2rceP1IaSoZ4ytRx,,,,14,SENACYT,SENACYT,Organismo Gubernamental,"Secretaría Nacional de Ciencia, Tecnología e Innovación"
Ecuador,,Qué son los churos en ecuador?,"En Ecuador, los churos son caracoles terrestres comestibles, un manjar exótico tradicional de la Sierra andina, especialmente populares en mercados como el de Quito y Otavalo, que se disfrutan solos con limón y ají o en una nutritiva colada de granos, siendo un alimento de temporada que aparece con las lluvias. ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"Oye la nota es que no se que es la Jama, dame una respuesta normal para cachar que es ",Claro la nota es la siguiente la jama en Ecuador significa comida es un término coloquial que se usa en la región costa por ejemplo vamos a jamar un encebollado,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,le cachaste?,Si le cache,Ecuador,0,Laboratorio de Investigación y Visión - Escuela Poltécnica Nacional,Laboratorio de Investigación y Visión - Escuela Poltécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Qué significa la expresión usada en Quito - Ecuador ""cachas""?","La expresión ""cachas"" es de uso informal y se puede referir a varias cosas pero sus significado más común es usarla de igual forma que la palabra ""entiendes"".
Ejemplo: Así se realiza este ejercicio ¿cachas?.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuáles son las loas más populares en desfile de la mama negra?,"Que lastima me da verte
Más pareces picaporte
Que culpa tiene Diosito
Que nacieras de este porte",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Oe confirma en que ciudad hacen el mejor encebollado?,"En la región costa se especializan en ese plato típico ecuatoriano, puede ser en la Provincia de Esmeraldas, o Manabí los cuales presentan gastronomía muy variada.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"¿Qué significa la palabra ""guagua""?","""guagua"" significa bebé o niño pequeño, especialmente en la región andina. En cambio, en países como Chile o Argentina, ""guagua"" también se usa para referirse a un autobús o colectivo.",Ecuador,1,Laboratorio de Inteligencia Artificial EPN,Laboratorio de Inteligencia Artificial EPN,Centro de Investigacion / Laboratorio,Laboratorio de investigación en inteligencia artificial
Ecuador,,No seas malito dame el significado de lo que es yapa al comprar algo,"Yapa es dar un poco más de lo que se está comprando, es decir se regala una porción",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecaudor,,"¿Qué significa la expresión ""achachay""","especialmente en la Sierra, ""achachay"" es una  expresión de frío intenso o sensación de frío",Ecuador,1,Laboratorio de Inteligencia Artificial EPN,Laboratorio de Inteligencia Artificial EPN,Centro de Investigacion / Laboratorio,Laboratorio de investigación en inteligencia artificial
Ecuador,,"que significa ""Cachar""?",Entender algo.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Qué significa la expresión ""chulla vida""?","es una expresión que describe una forma de vida orgullosa, individualista y a veces un poco arrogante, utilizada cuando haces las cosas de forma impulsiva",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cuál es la importancia y simbolismo de los ingredientes de la colada morada consumida en el día de los difuntos en Ecuador?,Cada uno de los ingredientes tiene importancia cultural en la preparación de la colada morada (detallar respuesta LATAM GPT) (es una pregunta genuina),Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Por qué en Ecuador hay alpacas en los paramos?,Son animales adaptados a esos climas y fueron y siguen siendo criados por la gente de la zona,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,https://drive.google.com/open?id=1PRhiaI-tIKh1nTEq-3SjL2yh1kg4zUv4,,,Ecuador,45,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cambia la forma de hablar según la región del Ecuador?,"Sí, cambia según la región: en la Sierra se habla más despacio y formal, en la Costa es más rápido y expresivo, en la Amazonía se mezclan palabras ancestrales y en Galápagos el español es más neutro.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Rusia,,"Que significa ""que bacán""?",Significa que algo esta muy bueno,Ecuador,1,EPN,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"De que parte del Ecuador surge el ""mi Llave""","La expresión “mi Llave” ha sido usado especialmente de la región de la Costa de Ecuador, con mayor fuerza en Guayaquil y sus alrededores.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué simboliza la chakana para los pueblos indigenas?,"Representa una forma integral de entender el universo, conectando lo espiritual con lo material.
Su representacion se da hacia los Tres Mundos (Hanan Pacha, Kay Pacha, Ukhu Pacha) conectan el mundo de arriba, el de aquí y el de abajo.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,A que se refieren los terminos de arrarray y achachay?,"Son terminos que se refieren a como nos sentimos a la temperatura del exterior, por ejemplo si sentimos mucho frio se dice achachay y si sentimos mucho calor o que algo quema se dice arrarray",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,A que se refiere los terminos arraray y achachay?,"Se refieren a sensaciones respecto a temperatura, por ejemplo arraray se refiere a sentir calor o que algo quema y achachay se refiere cuando sentimos mucho frio",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es la capital de Ecuador en que radica su importancia?,"La capital de la republica del Ecuador, es Quito, una ciudad que se ubica en la región sierra del país, su importancia radica en la posición estratégica por turismo, infraestructura, historia a y características políticas como lo puede ser el palacio presidencial, lugar que reside el presidente.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,Cual es la comida mas bacan del Ecuador ?,La mas bacan o popular podria ser el encebollado,Ecuador,1,Escuela Politecnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,"¿Qué significa la palabra ""ñaño"" en Ecuador y de dónde proviene?","Ñaño"" es un ecuatorianismo muy común que significa ""hermano"". Proviene de la palabra quichua ""ñaña"" (que significa hermana). En el habla cotidiana de Ecuador, se utiliza tanto para referirse a hermanos de sangre como para llamar afectuosamente a un amigo muy cercano o compañero.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Oye, cuéntame un cacho",Debe contarme un chiste,Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,Cual es el nombre de tu ñaño?,"ñaño es hermano, y mi hermano se llama luis",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Naciona,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Naciona,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es el “chuchaqui”?,"El “chuchaqui” es el término coloquial que se usa en Ecuador para referirse a la resaca o malestar físico que se presenta después de consumir alcohol en exceso. Sus síntomas más comunes incluyen dolor de cabeza, náuseas, mareo y fatiga.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,De qué manera se podría implementar un sistema táctico que chache de manera correcta los posibles ciudadanos que puedan poner en peligro la vida y bienestar de los ciudadanos del país ecuatoriano,"Identificar zonas, patrones y situaciones de riesgo, no personas “marcadas”, para prevenir delitos y emergencias.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es tonga?,Es un plato típico de Manabí dado en la hora del almuerzo.,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial de la Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial de la Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación asociado a una institución educativa
ECUADOR,,¿Cómo se usa el término ‘achachay’ en la Sierra del Ecuador y qué expresa?,"En la Sierra ecuatoriana, “achachay” es una exclamación que expresa frío intenso. ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,que significa ñaño,ñaño es una palabra utilizada en ecuador para referirse al hermano,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Naciona,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Naciona,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Con qué se quita el chuchaqui?,Pegarse un buen encebollado,Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Egipto,,¿Que es el encebollado?,"El encebollado es uno de los platos más tradicionales y queridos del Ecuador, pana 🇪🇨
Es una sopa caliente de pescado, normalmente hecha con albacora, y lleva yuca, cebolla colorada curtida, cilantro, tomate y especias. Se sirve bien caliente y casi siempre se acompaña con chifles, canguil o pan.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Oye pana, si el sistema se cae justo cuando estamos cerrando el avance del proyecto, ¿qué hacemos para no quedar mal con la jefa?","Tranqui ñaño, primero guarda todo lo que ya llenaste y saca un pantallazo como respaldo. Luego avisas de una al grupo y le mandas un mensajito a la jefa diciendo que el sistema se fue al piso, pero que el avance ya está listo. Así no quedas colgado y nadie te mete la culpa.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
HONDURAS,,Mejor equipo de Honduras,Olimpia,Honduras,1,DIRECCION DE GESTION POR RESULTADOS,DIRECCION DE GESTION POR RESULTADOS,Organismo Gubernamental,Dirección de gestión pública en Honduras
Ecuador,,"Ñaño, ¿cómo estuvo la chuma de anoche después del partido?","!Estuvo garota! Hubo biela, full risa y terminamos chiros.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"Una persona que vive en Ecuador, dice la siguiente frase: Ese guagua está con hambre, acolitame dándole un poco de cocolon. Que significa?","La frase significa; Ese niño está con hambre, ayúdame dandole un poco de arroz.
Cocolon, es una forma del arroz cocinado, lo que queda pegado a la olla y le da un poco de sabor ahumado.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Que significa ""En que bus vas vos ve""?","Por la forma de hablar en la Sierra del Ecuador, usando la manera y el vocabulario común de esta misma.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
República Dominicana,https://drive.google.com/open?id=1BodisIS0-1_GeYtwIn_5UZ4yhKZcqqGU,,,Ecuador,20,CDN - Cadena de Noticias TV,CDN - Cadena de Noticias TV,Otra,Cadena de noticias de televisión
Honduras,,¿Cómo afecta la colonialidad del pensamiento a la construcción de nuestra identidad?,"Desde la perspectiva de Aníbal Quijano y Enrique Dussel, la colonialidad del pensamiento configura la identidad como un efecto histórico de poder que persiste más allá del colonialismo formal, al articular la dominación económica, racial y epistémica en un mismo entramado. Quijano sostiene que la colonialidad del poder clasifica a los sujetos y saberes según una jerarquía racializada y eurocentrada, produciendo identidades subalternizadas que internalizan su propia desvalorización, mientras que Dussel advierte que esta lógica se funda en la exclusión del “Otro” como no-ser, negándole la condición de sujeto histórico y racional. En este sentido, la identidad en contextos latinoamericanos se construye bajo una racionalidad moderna que se presenta como universal, pero que en realidad invisibiliza las experiencias, memorias y proyectos propios, generando una subjetividad escindida entre la imposición de un modelo civilizatorio externo y la búsqueda de reconocimiento desde la alteridad negada.",Honduras,1,DIGER,DIGER,Otra,Entidad no clasificada
Ecuador,,¿Cómo se pregunta de manera informal a una persona en que vehículo público va a viajar en Ecuador?,En que carro vas a ir ve?,Ecuador,1,"""Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional""",Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
El Salvador,https://drive.google.com/open?id=1JHolIcU6pY5U4zWs4j8MIYYX28-l2r-f,,,Ecuador,346,,Independiente,Independiente,
ECUADOR,,Que ciudad es conocida como La Perla del Pacifico,"Guayaquil es conocida como la Perla del Pacífico principalmente por su relevancia histórica como el puerto comercial y astillero más importante de la costa sur del océano Pacífico, históricamente el puerto de Guayaquil era un puerto casi obligado de parada para los barcos que navegan por el océano Pacífico, durante la época de la colonia sus Astilleros erán los mas reconocidos de América del Sur, también su arquitectura y belleza dieron el nombre de La Perla del Pacifico. ",Ecuador,1,UNIVERSIDAD TECNOLOGICA ECOTEC,UNIVERSIDAD TECNOLOGICA ECOTEC,Universidad / IES,Universidad privada
Colombia,,Cuál es el significado de la palabra juicioso cuando se refiere a una persona.,"Al usar la palabra juicioso como adjetivo para calificar una persona , se hace referencia a alguien confiable, disciplinado y que cumple sus compromisos.",Colombia,,Universidad de los Andes,Universidad de los Andes,Universidad / IES,Universidad privada
Costa Rica,,Qué significa chunche o coso en Costa Rica,El chunche o coso se refiere a un objeto que se señala en el momento o no se recuerda el nombre del objeto al que se quiere referir. Suele usarse en contextos informales.,Costa Rica,1,Centro Nacional de Alta Tecnología,Centro Nacional de Alta Tecnología,Centro de Investigacion / Laboratorio,Centro de investigación tecnológica
Costa Rica,,¿Qué significa la palabra chonete?,"El chonete es un sombrero tradicional costarricense usado principalmente por la clase trabajadora rural. El sombrero es redondo, elaborado de tela blanca resistente, con costuras simples y que permite cubrir el cuello y orejas. Al ser de tela es fácil de guardar y lavar. También se usa como souvenir añadiendo un dibujo o pintura en un lado, dado que es redonde se puede usar en cualquier dirección. Los dibujos pueden ser de simbolos nacionales u otras referencias de costa rica. En la actualidad también es usado por los hombres en grupos de bailes folkloricos. Y es comumente usado en las fiestas patrias.",Costa Rica,1,CeNAT,CeNAT,Centro de Investigacion / Laboratorio,Centro Nacional de Alta Tecnología
Costa Rica,,¿Qué es el Combate de la Angostura?,"El Combate de La Angostura en 1860 fue una batalla donde las fuerzas gubernamentales derrotaron a Juan Rafael Mora Porras (quien fue derrocado por un golpe de Estado en 1859) y sus seguidores, consolidando el poder tras su derrocamiento. ",Costa Rica,1,UCR,Universidad de Costa Rica,Universidad / IES,Universidad pública
Costa Rica,,Michi,Palabra utilizada para referirse a un gato.,Costa Rica,1,CeNAT,CeNAT,Centro de Investigacion / Laboratorio,Centro Nacional de Alta Tecnología
Costa Rica,,¿Qué quiere decir Tiquicia?,"Tiquicia es un apodo que se popularizó en Costa Rica, es una forma coloquial de referirse al país.",Costa Rica,1,Centro Nacional de Alta Tecnología,Centro Nacional de Alta Tecnología,Centro de Investigacion / Laboratorio,Centro de investigación tecnológica
Costa Rica,,"¿Qué es la ""leche dormida"" en Costa Rica?","Es una bebida a base de leche (cuajo), vainilla, azúcar y canela, que se deja reposar para obtener una textura más espesa. Se consume fría como una bebida refrescante. Es popular en regiones de Guanacaste, como Cañas, Tilarán y algunas regiones de San Carlos.",Costa Rica,1,Centro Nacional de Alta Tecnología,Centro Nacional de Alta Tecnología,Centro de Investigacion / Laboratorio,Centro de investigación tecnológica
Ecuador,,cual es el plato típico más polular de la costa Ecuatoriana ?,El plato típico más popular de la costa ecuatoriana está representado por el Encebollado para los que no lo conocen es considerado una sopa pero para los que lo conocen y los extranjeros es un exquisito plato que no es un ceviche ni tampoco una sopa y es una combinación perfecta de pescado de albacora y una preparación muy propia del Ecuador. El que lo conoce y lo prueba no puede dejar de comerlo. Recomendado para el mundo.,Ecuador,1,Asvesot C.A.,Asvesot C.A.,Empresa / Industria,Empresa privada
